,PassengerNumber,Name,HomePlanet_0,HomePlanet_1,Destination_0,Destination_1,deck,numofcabin,side_0,side_1,Age,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
26,20,7606,1,0,0,1,4,0,1,0,7,False,False,0,0,0,0,0,False
27,22,4094,1,1,0,1,3,0,0,1,21,False,False,980,2,69,0,0,False
28,24,6208,0,1,0,1,2,2,1,0,62,True,False,0,0,424,0,0,True
29,25,4561,1,0,0,1,5,6,1,0,15,False,False,0,225,0,998,0,False
30,26,664,0,1,1,1,2,0,0,1,34,False,False,22,6073,0,1438,328,False
31,28,1627,1,1,0,1,5,8,0,1,43,False,False,1125,0,136,48,0,False
32,30,3355,1,0,0,1,6,4,1,0,32,False,False,0,850,81,437,453,False
33,31,1900,1,1,0,1,5,9,0,1,47,False,False,214,0,1411,0,1229,True
34,31,1780,1,1,0,1,5,9,0,1,2,False,False,0,0,0,0,0,True
35,31,2367,1,1,0,1,5,9,0,1,20,False,False,0,0,1750,990,0,True
36,34,8451,0,1,1,1,3,1,1,0,28,True,False,0,0,0,0,0,True
37,35,5147,1,1,1,1,3,1,0,1,23,False,False,784,964,0,951,0,False
38,36,5336,1,0,1,1,5,8,1,0,15,False,False,0,492,48,20,401,False
39,38,5046,1,0,1,1,5,10,1,0,20,False,False,554,195,0,2606,0,False
40,39,4456,1,0,1,1,6,1,0,1,30,True,False,0,0,827,0,0,False
41,41,5311,1,0,0,1,6,2,0,1,17,True,False,0,0,0,0,0,True
42,43,586,0,1,0,1,1,3,0,1,45,False,False,0,164,45,2511,855,False
43,44,4396,1,0,0,1,6,3,0,1,55,True,False,0,0,0,0,0,False
44,44,4630,1,0,1,1,6,3,0,1,4,True,False,0,0,0,0,0,True
45,44,1567,1,0,1,0,6,3,0,1,21,True,False,0,0,0,0,0,True
46,45,8443,1,1,0,1,5,10,0,1,21,False,False,970,0,180,0,64,False
47,45,5389,1,1,0,1,5,10,0,1,19,True,False,0,0,0,0,0,True
48,50,7173,1,0,1,1,4,1,1,0,35,False,False,790,0,0,0,0,False
49,51,8061,1,0,0,1,4,2,1,0,56,False,False,0,112,0,1379,127,False
50,52,2589,1,0,0,1,6,6,1,0,39,False,False,4,0,2,4683,0,False
51,53,2733,1,0,0,1,5,11,1,0,25,False,False,0,0,1938,0,1,True
52,56,6054,0,1,0,1,0,1,1,0,2,False,False,0,0,0,0,0,True
53,56,4041,0,1,0,1,0,1,1,0,38,True,False,0,0,0,0,0,True
54,56,8456,0,1,0,1,0,1,1,0,27,False,False,279,605,3374,286,3,True
55,58,8134,1,0,1,0,6,7,1,0,36,True,False,0,0,0,0,0,False
56,61,7040,1,0,0,1,5,12,1,0,22,False,False,45,1096,148,1377,1,False
57,62,7298,1,0,0,1,5,13,1,0,62,False,False,0,592,0,17,25,False
58,64,4897,1,1,0,1,5,14,1,0,15,True,False,0,0,0,0,0,True
59,64,1870,1,0,0,1,4,3,1,0,33,True,False,0,0,0,0,0,True
60,66,2272,1,0,0,1,6,6,0,1,62,False,False,1,153,197,0,460,False
61,67,5981,1,0,1,0,6,10,1,0,0,True,False,0,0,0,0,0,True
62,67,1602,1,0,0,1,6,10,1,0,18,False,False,1,258,446,0,0,True
63,67,7991,1,0,1,1,5,15,1,0,21,False,False,1946,37,0,0,24,False
64,68,1793,1,1,0,1,4,4,1,0,26,False,False,793,0,2,253,0,False
65,69,2419,1,0,0,1,5,16,1,0,42,False,False,887,0,9,6,0,True
66,70,5507,1,0,0,1,5,13,0,1,19,False,False,190,0,5,1,726,False
67,71,5916,1,0,0,1,5,14,0,1,17,False,False,16,2165,0,0,52,False
68,72,7647,1,0,0,1,5,17,1,0,14,False,False,0,1,0,0,1063,False
69,73,3463,1,1,1,0,3,3,0,1,37,False,False,46,83,738,0,12,False
70,74,202,0,1,0,1,2,3,1,0,42,False,False,1,8397,0,0,506,True
71,76,1895,1,1,0,1,5,18,1,0,27,False,False,147,0,1018,0,0,True
72,77,6324,1,1,0,1,5,15,0,1,28,False,False,14,0,1295,0,0,True
73,78,7200,0,1,0,1,2,4,1,0,38,False,False,0,5840,0,321,9654,False
74,81,2200,1,0,0,1,6,13,1,0,13,True,False,0,0,0,0,0,False
75,82,7829,1,1,0,1,5,16,0,1,42,False,False,7406,0,0,0,0,False
76,82,2500,1,1,0,1,5,16,0,1,2,True,False,0,0,0,0,0,True
77,82,216,1,1,0,1,5,16,0,1,8,False,False,0,0,0,0,0,True
78,84,1935,1,0,0,1,6,14,1,0,24,False,False,688,0,0,0,17,True
79,85,3156,0,1,0,1,2,5,1,0,40,True,False,0,0,0,0,0,True
80,86,4399,1,0,0,1,5,17,0,1,43,False,False,211,0,0,638,513,False
81,88,7320,1,1,1,0,4,5,1,0,45,True,False,0,0,0,0,0,True
82,90,3842,1,0,0,1,6,15,1,0,35,True,False,0,0,0,0,0,True
83,91,2161,1,0,0,1,6,16,1,0,26,True,False,0,0,0,0,0,True
84,91,7748,1,0,0,1,5,20,1,0,27,False,False,1,697,31,188,0,False
85,92,3487,1,0,0,1,6,9,0,1,19,False,False,0,0,670,1,34,False
86,92,7232,1,0,0,1,6,9,0,1,0,True,False,0,0,2,0,0,True
87,92,7743,1,0,0,1,6,9,0,1,3,True,False,0,0,0,0,0,True
88,97,164,0,1,0,1,0,2,1,0,54,False,False,0,1208,0,3,637,False
89,98,2394,1,0,0,1,6,11,0,1,26,False,False,0,856,5,32,0,False
90,98,4850,1,0,0,1,6,11,0,1,26,False,False,0,2811,957,0,87,True
91,99,295,1,0,1,0,5,19,0,1,23,False,False,311,427,526,37,0,False
92,99,7695,1,0,0,1,6,12,0,1,2,False,False,0,0,0,0,0,True
93,101,1261,1,1,0,1,5,1624,1,0,31,True,False,0,0,0,0,0,True
94,102,6653,1,0,0,1,5,23,1,0,18,False,False,0,0,0,830,91,False
95,103,725,1,0,0,1,5,24,1,0,24,False,False,0,0,0,0,17,True
96,103,6989,1,0,1,1,6,18,1,0,9,True,False,0,0,0,0,0,True
97,103,2975,1,0,0,1,6,18,1,0,6,True,False,0,0,0,0,0,False
98,105,1545,1,0,0,1,5,21,0,1,27,True,False,0,0,570,2,131,False
99,107,1901,1,1,0,1,3,2,1,0,21,False,False,1743,5,17,0,0,False
100,108,5871,1,0,0,1,6,19,1,0,23,True,False,0,0,0,0,0,False
101,108,1820,1,0,0,1,6,19,1,0,31,False,False,562,0,326,0,0,False
102,108,6068,1,0,0,1,6,19,1,0,0,False,False,0,0,0,0,0,True
103,110,3526,0,1,0,1,5,1136,0,1,32,False,False,0,410,6,3929,764,False
104,110,185,0,1,0,1,1,5,0,1,40,False,False,0,331,0,0,1687,False
105,110,119,0,1,0,1,1,5,0,1,42,False,False,2209,11418,0,1868,445,True
106,110,4124,0,1,0,1,1,5,0,1,28,True,False,0,0,0,0,0,True
107,111,191,0,1,0,1,4,6,1,0,29,True,False,0,0,0,0,0,True
108,112,5743,0,1,1,1,1,1,1,0,48,False,True,0,2537,87,17,13,True
109,113,4015,1,0,0,1,5,23,0,1,64,False,False,0,0,804,0,0,True
110,114,5406,1,0,0,1,6,20,1,0,27,False,False,82,157,429,238,1,False
111,115,6675,1,1,0,1,5,24,0,1,26,False,False,0,0,0,0,2,True
112,116,280,0,1,0,1,3,4,0,1,33,False,False,1,2223,0,12,404,True
113,119,960,1,0,0,1,0,0,0,1,39,False,False,0,2344,0,65,6898,False
114,119,4721,0,1,0,1,0,0,0,1,13,True,False,0,0,0,0,0,True
115,120,1010,1,1,0,1,5,25,0,1,24,True,False,0,0,0,0,0,True
116,122,7067,1,0,0,1,6,21,1,0,29,False,False,0,0,0,699,74,False
117,123,4052,1,0,0,1,5,27,0,1,18,False,False,55,597,49,0,1,False
118,126,5579,1,1,0,1,5,27,1,0,67,True,False,0,0,0,0,0,True
119,127,5581,1,1,0,1,4,7,1,0,35,False,False,701,0,296,0,25,False
120,128,3561,1,1,0,1,3,3,1,0,61,False,True,2353,334,9,316,2,False
121,128,942,1,1,0,1,4,8,1,0,45,False,False,2103,6,0,0,0,False
122,129,6420,1,0,1,0,6,22,1,0,22,True,False,0,0,415,0,0,True
123,133,3071,1,1,0,1,5,29,1,0,19,True,False,0,0,0,0,0,True
124,133,2554,1,1,0,1,3,5,1,0,36,False,False,2738,0,0,0,0,False
125,134,1445,1,0,0,1,6,17,0,1,19,False,False,0,14,730,0,0,True
126,136,2117,1,0,1,0,6,23,1,0,47,False,False,97,418,126,25,55,False
127,138,2996,1,0,0,1,6,18,0,1,13,True,False,0,0,0,0,0,True
128,138,5690,1,0,0,1,4,5,0,1,34,False,False,0,22,0,564,207,False
129,139,1656,0,1,1,1,2,6,1,0,35,True,False,0,0,0,0,0,True
130,140,2918,1,0,0,1,6,19,0,1,24,True,False,0,0,0,0,0,True
131,140,8018,1,0,0,1,5,29,0,1,26,False,False,440,0,0,0,462,False
132,141,6396,1,1,0,1,5,30,0,1,31,False,False,789,0,97,0,0,False
133,144,3571,1,0,0,1,5,31,1,0,20,False,False,0,420,210,0,0,True
134,146,8010,1,0,0,1,6,25,1,0,56,False,False,0,0,0,0,0,False
135,147,6864,1,0,0,1,6,26,1,0,50,True,False,0,0,0,0,0,True
136,148,1945,1,1,0,1,5,31,0,1,42,False,False,1072,0,10,0,76,False
137,149,1169,1,0,1,1,6,27,1,0,39,True,False,0,0,0,0,0,True
138,151,7033,1,0,1,1,6,20,0,1,38,True,False,0,0,0,0,0,False
139,152,537,1,0,1,1,5,32,0,1,41,False,False,0,0,0,0,607,False
140,160,3470,1,0,0,1,6,22,0,1,22,False,False,4119,0,0,0,61,False
141,163,4542,0,1,0,1,1,8,0,1,26,True,False,0,0,0,0,0,True
142,163,6933,0,1,0,1,1,8,0,1,17,True,False,0,0,0,0,0,True
143,164,2980,1,0,0,1,6,28,1,0,57,False,False,50,1688,0,7,135,True
144,164,3989,1,0,1,0,6,28,1,0,17,True,False,0,0,0,0,0,False
145,165,3520,1,1,0,1,5,37,0,1,35,True,False,0,0,0,0,0,True
146,167,5661,1,1,0,1,5,35,1,0,13,True,False,0,0,0,0,0,True
147,167,6640,1,1,0,1,5,35,1,0,27,False,False,1365,0,48,22,137,False
148,169,8122,1,0,0,1,6,23,0,1,31,True,False,0,0,0,0,0,False
149,170,5683,1,0,0,1,4,10,1,0,24,False,False,0,0,0,221,567,False
150,171,1910,1,0,1,0,6,30,1,0,19,True,False,0,0,0,0,0,True
151,172,3696,1,0,0,1,6,24,0,1,32,True,False,0,0,0,0,0,True
152,173,3885,1,0,0,1,4,11,1,0,58,True,False,0,985,0,5,0,True
153,174,2415,1,0,1,1,5,38,0,1,21,False,False,287,0,16,115,175,False
154,177,7804,0,1,0,1,1,2,1,0,38,False,False,0,10346,1,14970,2111,False
155,178,8175,1,1,0,1,3,6,1,0,38,False,False,3414,0,161,28,119,False
156,179,2590,1,0,0,1,6,26,0,1,19,False,False,1,219,673,2,11,True
157,179,6515,1,0,0,1,6,26,0,1,0,False,False,0,0,0,0,0,False
158,179,6850,1,0,0,1,6,26,0,1,3,False,False,0,0,0,0,0,True
159,181,5837,1,0,0,1,6,27,0,1,20,False,False,0,0,3,299,92,False
160,182,4773,0,1,0,1,2,3,0,1,24,True,False,0,0,0,0,0,True
161,183,7249,1,0,0,1,5,36,1,0,37,False,False,17,146,426,0,232,True
162,186,1437,1,0,0,1,6,28,0,1,25,False,False,62,0,0,0,956,False
163,188,1321,1,0,0,1,6,31,1,0,56,True,False,0,0,0,0,0,True
164,189,3816,1,0,1,1,4,8,0,1,49,False,False,84,3,401,202,98,False
165,190,5477,1,0,1,1,6,32,1,0,11,True,False,0,0,0,0,0,False
166,192,7462,1,0,0,1,6,29,0,1,1,True,False,0,0,0,0,0,True
167,192,6667,1,0,0,1,6,29,0,1,8,False,False,0,0,0,0,0,False
168,192,4972,1,0,0,1,6,29,0,1,39,False,False,0,0,10,898,0,False
169,193,7194,1,1,0,1,5,41,0,1,2,True,False,0,0,0,0,0,True
170,193,3133,1,1,0,1,5,41,0,1,23,False,False,2,0,8,1072,0,False
171,193,3419,1,1,0,1,5,41,0,1,0,False,False,0,0,0,0,0,True
172,195,934,1,1,0,1,5,42,0,1,39,False,False,406,0,867,0,0,True
173,196,1476,1,1,1,0,3,5,0,1,25,False,False,1052,0,719,0,7,False
174,197,828,0,1,0,1,2,5,0,1,36,False,False,0,972,0,795,575,False
175,198,4288,1,0,1,0,6,30,0,1,52,True,False,0,0,0,0,0,True
176,199,6550,1,0,0,1,6,33,1,0,18,True,False,0,0,0,0,0,False
177,200,2648,1,0,0,1,6,31,0,1,15,True,False,0,0,0,0,0,True
178,201,4549,0,1,0,1,1,3,1,0,35,True,False,0,0,0,0,0,True
179,201,2524,0,1,0,1,1,3,1,0,47,True,False,0,0,0,0,0,True
180,202,6322,0,1,1,1,1,9,0,1,45,True,False,0,0,0,0,0,True
181,202,7988,0,1,1,1,0,2,0,1,20,False,False,0,2433,0,878,443,True
182,203,517,0,1,0,1,2,8,1,0,51,True,False,0,0,0,0,0,True
183,205,1533,1,0,0,1,6,34,1,0,29,False,False,0,2,66,0,705,False
184,206,6013,0,1,1,1,2,9,1,0,35,False,False,2,1720,12,1125,122,True
185,207,7704,1,0,1,0,6,32,0,1,19,True,False,0,0,0,0,0,False
186,210,752,1,0,1,1,3,6,0,1,24,True,False,0,0,0,0,0,True
187,211,6179,1,1,0,1,5,44,0,1,29,False,False,902,1,137,0,0,True
188,211,1943,1,1,0,1,5,44,0,1,11,True,False,0,0,0,0,0,True
189,211,6268,1,1,0,1,5,44,0,1,17,False,False,848,0,307,182,0,False
190,212,4031,1,0,0,1,4,9,0,1,13,False,False,192,0,0,51,739,False
191,212,7014,1,0,0,1,5,45,0,1,35,False,False,147,188,0,10,387,False
192,213,1502,1,0,0,1,5,46,0,1,21,False,False,367,281,0,0,146,False
193,216,6958,1,0,1,1,5,40,1,0,21,False,False,0,56,0,0,1918,False
194,217,6365,1,0,0,1,5,47,0,1,38,False,False,1517,0,0,27,0,False
195,219,5960,1,0,0,1,6,36,0,1,19,True,False,0,0,0,0,0,True
196,220,7903,1,0,0,1,6,37,0,1,2,True,False,0,0,0,0,0,True
197,220,8223,1,0,0,1,6,37,0,1,0,False,False,0,0,0,0,0,True
198,220,1302,1,0,0,1,6,37,0,1,13,True,False,0,0,0,0,0,False
199,220,2366,1,0,0,1,4,10,0,1,25,False,False,122,84,0,0,0,False
200,220,7995,1,0,0,1,5,48,0,1,16,False,False,0,3,0,0,1099,False
201,220,8229,1,0,1,1,6,37,0,1,1,False,False,0,0,0,0,0,False
202,220,3606,1,0,0,1,6,37,0,1,15,True,False,0,0,0,0,0,True
203,221,1956,1,1,1,1,4,13,1,0,21,False,False,2237,0,119,0,0,False
204,221,8385,1,1,0,1,4,13,1,0,23,False,False,1215,80,1,2,0,False
205,221,4153,1,1,0,1,4,13,1,0,33,False,False,1933,12,188,1,0,False
206,221,2547,1,1,0,1,4,13,1,0,21,True,False,0,0,0,0,0,True
207,221,6115,1,1,0,1,4,13,1,0,41,False,False,1230,0,301,43,1023,False
208,221,3508,1,1,0,1,4,13,1,0,16,False,False,915,0,221,234,0,False
209,221,6676,1,1,0,1,4,13,1,0,42,True,False,0,0,0,0,0,False
210,222,3431,1,1,0,1,5,41,1,0,20,False,False,1406,0,0,11,0,False
211,222,1882,1,1,0,1,5,41,1,0,24,True,False,0,0,0,0,0,True
212,222,3500,1,1,0,1,4,14,1,0,16,True,False,0,0,0,0,0,True
213,223,2923,1,0,0,1,6,35,1,0,21,False,False,0,2,665,0,9,False
214,224,1220,1,1,0,1,5,42,1,0,32,False,True,181,0,5,1634,0,False
215,225,1526,1,0,1,0,6,38,0,1,58,True,False,0,0,0,0,0,True
216,229,2358,1,0,0,1,5,43,1,0,24,False,False,4,7,0,713,79,False
217,231,4770,1,1,0,1,5,44,1,0,30,False,False,85,0,1,1720,0,False
218,232,5958,1,0,1,0,6,36,1,0,27,True,False,0,0,0,0,0,False
219,233,7541,1,1,0,1,5,45,1,0,32,False,False,56,0,256,1438,0,False
220,234,4642,1,0,0,1,5,50,0,1,43,False,False,0,888,0,0,0,False
221,237,8188,0,1,0,1,1,11,0,1,42,True,False,0,0,0,0,0,True
222,239,2298,1,1,0,1,3,280,0,1,37,False,False,637,0,0,92,319,False
223,240,6389,1,1,0,1,5,52,0,1,35,True,False,0,0,0,0,0,True
224,241,132,0,1,1,1,4,11,0,1,33,False,False,0,1249,0,4812,1116,False
225,242,377,1,0,0,1,5,46,1,0,18,False,False,313,1,691,283,0,False
226,243,4974,1,0,0,1,6,37,1,0,21,True,False,0,0,0,0,0,False
227,244,3138,1,1,0,1,1,297,0,1,43,True,False,0,0,0,0,0,True
228,244,7832,1,1,1,1,5,47,1,0,14,True,False,0,0,0,0,0,True
229,245,3397,0,1,1,1,2,6,0,1,46,False,False,0,3571,0,0,7,True
230,245,520,0,1,0,1,2,6,0,1,33,False,False,0,86,796,584,10912,False
231,246,5456,1,1,0,1,3,8,0,1,21,False,False,2947,0,287,27,0,False
232,248,3260,0,1,0,1,2,10,1,0,33,False,False,0,1,0,8620,1063,False
233,250,1440,1,0,1,0,6,38,1,0,47,True,False,0,0,0,0,0,False
234,251,2310,1,0,1,1,2,11,1,0,54,True,False,0,0,0,0,0,True
235,252,4859,1,0,0,1,5,53,0,1,30,False,False,335,695,541,0,0,False
236,253,2139,1,0,0,1,6,42,0,1,29,False,False,272,615,0,0,1,False
237,254,6424,1,0,0,1,5,54,0,1,21,False,False,702,172,408,2,6,True
238,255,792,0,1,0,1,0,3,1,0,24,True,False,0,0,0,0,0,True
239,257,2876,1,1,1,1,5,49,1,0,21,False,False,1664,0,1,0,0,False
240,257,7207,1,1,0,1,5,49,1,0,60,True,False,0,0,0,0,0,True
241,258,3038,1,0,0,1,5,50,1,0,22,False,False,0,0,313,299,92,False
242,260,6967,0,1,0,1,4,16,1,0,26,False,False,0,4810,0,981,2054,False
243,261,2382,1,0,0,1,5,56,0,1,26,False,False,66,29,0,0,803,False
244,263,5247,1,0,0,1,6,43,0,1,28,True,False,0,0,0,0,0,True
245,265,2894,0,1,0,1,3,8,1,0,39,True,False,0,0,0,0,0,True
246,267,4979,1,0,0,1,5,51,1,0,13,False,False,118,0,0,754,1,False
247,269,4914,1,0,1,1,5,52,1,0,47,False,False,0,231,592,0,0,True
248,270,1584,1,0,0,1,5,59,0,1,63,False,False,0,25,128,0,1240,False
249,275,7566,0,1,1,1,3,9,1,0,23,True,False,0,0,0,0,0,True
250,277,1405,1,0,1,1,5,61,0,1,50,False,False,44,2390,0,53,0,True
251,278,4503,1,0,0,1,2,39,1,0,35,False,False,0,0,0,888,0,False
252,278,5320,1,0,0,1,6,45,0,1,45,False,False,0,97,0,14,333,False
253,281,2234,1,0,0,1,5,63,0,1,19,False,False,0,0,2078,0,0,True
254,282,7939,1,0,0,1,5,54,1,0,21,False,False,0,918,0,0,0,True
255,283,4160,1,0,1,0,6,46,0,1,29,True,False,0,0,0,0,0,True
256,283,6743,1,0,0,1,5,64,0,1,22,False,False,146,654,1,0,2,True
257,285,4751,0,1,0,1,4,16,0,1,14,True,False,0,0,0,0,0,True
258,285,3512,0,1,1,1,4,16,0,1,42,True,False,0,0,0,0,0,True
259,286,1500,1,0,1,1,5,65,0,1,57,False,False,3,1281,29,162,13,False
260,287,7616,0,1,1,1,6,824,1,0,39,True,False,0,0,0,0,0,True
261,287,139,0,1,0,1,1,12,0,1,28,False,False,0,587,32,6,1460,False
262,288,3472,1,0,1,1,5,55,1,0,19,False,False,0,0,0,0,828,False
263,289,3166,0,1,1,1,2,12,1,0,19,True,False,0,0,0,0,0,True
264,290,7112,0,1,1,1,1,7,1,0,26,False,False,0,4458,0,1157,262,True
265,290,260,0,1,0,1,1,7,1,0,17,True,False,0,0,0,0,0,True
266,290,2253,0,1,0,1,1,7,1,0,43,False,False,0,0,0,0,0,True
267,290,834,0,1,1,1,1,7,1,0,9,False,False,0,0,0,0,0,True
268,291,1569,0,1,0,1,3,10,1,0,40,False,False,0,6500,88,1090,0,True
269,294,6263,0,1,0,1,1,8,1,0,50,True,False,0,0,0,417,0,True
270,297,2857,1,0,0,1,6,47,0,1,24,False,False,90,2,1324,17,0,True
271,298,797,0,1,1,1,0,3,0,1,57,True,False,0,0,0,0,0,True
272,301,5314,1,0,0,1,5,1304,0,1,16,True,False,0,0,0,0,0,False
273,302,4932,1,0,0,1,5,67,0,1,23,False,False,0,0,15,0,1370,False
274,303,6085,1,0,0,1,6,41,1,0,23,True,False,0,0,0,0,0,True
275,304,1122,0,1,0,1,4,18,1,0,28,False,False,0,422,0,1851,5166,False
276,305,7355,0,1,1,1,2,7,0,1,23,False,False,0,584,0,20,2469,False
277,306,2372,1,0,0,1,4,19,1,0,23,False,False,368,175,259,1,101,False
278,307,5873,1,0,0,1,5,59,1,0,18,False,False,0,0,1359,0,0,True
279,309,1167,1,0,0,1,5,60,1,0,18,False,False,1194,0,157,6,0,False
280,310,5890,0,1,0,1,6,554,1,0,67,False,False,38,230,0,4476,241,False
281,313,1379,1,0,1,0,5,68,0,1,60,False,False,7,540,1,0,4,True
282,313,4424,1,0,1,1,6,50,0,1,30,True,False,0,0,1008,0,0,True
283,313,4172,1,0,1,1,5,68,0,1,49,False,False,331,0,0,318,0,True
284,313,3741,1,0,1,1,6,50,0,1,0,False,False,0,0,0,0,0,True
285,314,4651,1,0,1,1,6,51,0,1,26,False,False,386,0,74,0,1330,False
286,315,81,1,1,1,0,6,42,1,0,35,True,False,0,0,0,0,0,True
287,316,3663,0,1,0,1,1,9,1,0,24,False,False,0,2628,0,170,0,True
288,316,1046,0,1,0,1,1,9,1,0,20,True,False,0,0,0,0,0,True
289,320,1338,1,0,0,1,6,44,1,0,18,False,False,0,2,0,3,0,False
290,320,3203,1,0,0,1,6,44,1,0,21,False,False,0,5,3,0,0,False
291,321,6416,1,0,0,1,5,61,1,0,59,False,True,1018,0,209,0,0,False
292,322,626,1,0,1,0,6,45,1,0,13,True,False,0,0,0,0,0,False
293,324,1532,1,0,1,1,6,53,0,1,43,True,False,0,0,0,0,0,False
294,326,1666,1,0,0,1,6,47,1,0,29,True,False,0,0,0,0,0,False
295,327,4213,1,0,0,1,5,1094,1,0,19,False,False,17,0,784,0,2,True
296,330,1025,0,1,0,1,2,14,1,0,2,False,False,0,0,0,0,0,True
297,330,2298,0,1,0,1,2,14,1,0,32,False,False,247,4651,0,46,202,True
298,330,3795,0,1,0,1,2,14,1,0,33,False,False,443,317,0,148,1260,False
299,331,4950,1,0,0,1,5,72,0,1,25,False,False,0,0,251,0,552,False
300,333,6260,1,1,1,1,5,73,0,1,29,True,False,0,0,0,0,0,True
301,334,7930,1,1,0,1,5,62,1,0,29,False,False,5715,2,211,1476,0,False
302,336,5408,1,0,0,1,5,74,0,1,44,False,False,695,1,16,0,0,False
303,337,3579,1,1,1,1,5,63,1,0,2,True,False,0,0,0,0,0,True
304,337,8246,1,1,0,1,5,63,1,0,19,False,False,417,349,634,3,1057,True
305,337,2443,1,1,1,1,5,63,1,0,0,False,False,0,0,0,0,0,True
306,338,4062,1,0,0,1,6,48,1,0,18,True,False,0,0,0,0,0,True
307,340,6206,0,1,1,1,1,10,1,0,38,True,False,0,0,0,0,0,True
308,341,5101,1,0,1,0,6,57,0,1,5,True,False,0,0,0,0,0,False
309,343,5509,1,0,1,0,5,76,0,1,31,False,False,121,0,0,274,907,False
310,345,1092,1,1,0,1,4,21,1,0,30,True,False,0,0,0,0,0,False
311,346,5206,1,0,1,1,6,59,0,1,15,True,False,0,0,0,0,0,True
312,347,1952,1,1,0,1,5,64,1,0,27,False,False,434,0,1434,0,0,False
313,348,7333,1,1,0,1,3,12,0,1,22,False,False,142,2876,202,3,0,True
314,348,8179,1,1,0,1,5,648,0,1,36,True,False,520,0,1865,0,0,True
315,350,5080,1,0,1,0,6,60,0,1,14,True,False,0,0,0,0,0,True
316,352,3906,1,1,0,1,5,78,0,1,23,False,False,2001,0,2975,0,0,False
317,355,7860,1,0,0,1,6,1031,1,0,18,True,False,0,0,0,0,0,True
318,356,6225,0,1,1,1,1,15,0,1,36,True,False,0,0,0,0,0,True
319,357,2542,1,0,0,1,5,65,1,0,41,False,False,0,1198,0,124,572,False
320,358,6694,1,0,0,1,6,50,1,0,50,True,False,0,0,0,0,0,True
321,358,2086,1,0,1,0,6,50,1,0,32,True,False,0,0,0,0,0,True
322,359,1603,1,0,1,0,5,66,1,0,26,False,False,148,0,453,0,88,False
323,360,2577,1,0,0,1,5,67,1,0,15,False,False,358,212,33,0,112,False
324,361,8054,1,0,1,1,5,68,1,0,33,False,False,0,36,0,280,417,True
325,365,2073,1,0,1,1,6,51,1,0,33,False,False,0,0,0,685,21,False
326,368,6583,1,1,0,1,5,82,0,1,26,False,False,2832,107,4447,15,4,False
327,368,968,1,1,0,1,5,82,0,1,61,True,False,0,0,0,0,0,True
328,369,8021,1,0,0,1,6,53,1,0,24,False,False,0,0,592,177,58,True
329,370,7739,1,0,0,1,5,83,0,1,30,False,False,0,95,0,441,1023,False
330,371,1752,1,1,0,1,5,84,0,1,24,True,False,0,0,0,0,0,True
331,372,4144,1,0,0,1,5,85,0,1,24,False,False,0,5,0,2766,0,False
332,373,1156,1,0,0,1,6,62,0,1,41,True,False,0,0,0,0,0,False
333,375,5168,1,0,0,1,4,22,0,1,20,False,False,0,0,558,0,230,False
